colorfulness,sharpness,total_clip,saturation,noise,contrast,color_temp,ranking
43.7106,4.1032,1.2367,52.6776,0.2945,50.2159,6167.8328,0.0261
60.4250,12.3751,1.5046,112.0785,1.0231,78.3332,5250.3570,0.0388
53.4578,3.6093,1.0068,106.3048,0.3089,54.0991,3994.9645,0.0095
111.3931,4.2161,1.3164,164.1422,0.0000,56.7481,203.4607,0.0146
51.0904,7.9973,1.0348,91.4728,0.6888,53.7694,2837.9625,0.0172
28.9384,5.1003,1.0197,76.2349,0.6299,71.9485,3604.2045,0.0204
27.2210,4.7606,1.0148,48.0894,0.5433,63.7257,6046.5685,0.0052
30.3884,6.5735,3.7766,61.0682,0.4445,88.8864,6249.2767,0.0239
47.0607,4.9271,2.1238,69.9831,0.3624,84.8627,6392.6257,0.0233
30.2085,5.0219,1.2251,30.9125,0.3662,54.3237,6410.1753,0.0095
23.5895,2.8645,1.3142,32.5310,0.0000,64.4600,6189.8938,0.0196
62.2783,2.7233,1.3875,77.8917,0.2592,37.2935,4910.9887,0.0224
77.0495,5.4553,1.3673,131.7925,0.0000,53.4143,5010.6300,0.0143
60.5594,9.3231,1.7009,113.5395,2.2365,45.0116,3450.6281,0.0227
76.5891,2.1709,2.4859,65.3232,0.0392,44.3158,6843.9671,0.0159
40.6384,17.8198,2.1851,56.6469,3.4152,74.1538,5941.1087,0.0171
124.1723,2.2203,6.5146,194.4845,0.0392,53.4229,3902.3037,0.0110
35.0762,4.2922,1.0761,84.6298,0.4528,59.3809,4938.3704,0.0170
102.0622,4.0130,3.0322,103.5507,0.0866,51.5858,8746.6109,0.0074
23.5540,5.3106,1.0001,54.8554,0.4837,48.2733,5094.0430,0.0176
43.3194,6.8773,1.0760,151.5567,0.6299,45.8443,3011.8566,0.0188
54.1172,5.3780,1.0264,108.3258,0.7474,48.6083,3385.0579,0.0157
45.4698,5.9333,2.5918,21.3994,0.0061,56.8090,6544.6301,0.0096
72.9913,8.0663,1.0164,77.1975,1.0585,53.1266,5328.6812,0.0288
57.1449,5.8553,3.1133,80.6104,0.4114,86.5966,4284.9727,0.0204
104.2472,23.5721,3.7011,166.0845,5.2592,63.1343,2941.7532,0.0269
82.0606,0.8561,2.2261,104.0090,0.0000,12.6902,7862.3194,0.0115
34.3369,6.1348,1.5725,61.6480,0.5146,80.3741,6003.2979,0.0182
10.5042,9.4791,1.2385,15.2878,1.5840,51.6772,6357.1426,0.0136
83.1605,1.7802,4.2000,46.5795,0.0000,45.0348,6111.0599,0.0103
33.3871,10.2562,1.5369,115.3029,1.8510,67.5631,3305.0819,0.0163
51.2892,6.6765,1.3503,61.3861,0.9040,65.5296,5806.2577,0.0215
18.7581,27.6135,2.4411,45.8823,12.5061,73.0934,5844.9276,0.0186
28.3732,8.8129,1.1750,95.8258,0.8996,60.9019,3768.3065,0.0199
98.6472,2.6403,1.1430,182.2099,0.0618,75.4090,3582.1946,0.0096
113.4978,3.0372,4.6842,98.6815,0.1462,54.6229,2331.1472,0.0127
22.0991,8.6299,1.1855,84.2850,0.7617,85.6160,4853.9818,0.0094
46.4705,5.2691,4.2765,46.7003,0.0000,34.1976,6571.1124,0.0109
70.0614,6.3484,1.3216,110.6250,0.4898,45.4206,5608.6528,0.0069
120.7076,3.7724,7.0794,177.0678,0.3729,66.2687,7259.8971,0.0096
54.5320,7.6112,1.1837,106.5166,0.8604,49.0047,3899.6514,0.0233
38.5091,9.2788,1.2310,81.4246,0.5786,69.9742,4738.7102,0.0078
31.9206,12.0816,2.2942,92.5481,1.8747,81.3663,3269.0925,0.0234
66.8926,2.7634,18.7507,139.3344,0.0761,35.4916,3674.1411,0.0155
